SimulationV061.py[0, 133]
[1, 60]
[2, 60]
[3, 123]
[4, 60]
[5, 60]
[6, 123]
[7, 60]
[8, 60]
[9, 123]
[10, 60]
[11, 60]
[12, 123]
[13, 60]
[14, 60]
[15, 123]
[16, 60]
[17, 60]
[18, 123]
[19, 60]
[20, 70]
[21, 123]
[22, 60]
[23, 60]
[24, 60]
[25, 123]
[26, 60]
[27, 60]
[28, 123]
[29, 60]
[30, 60]
[31, 123]
[32, 60]
[33, 60]
[34, 123]
[35, 60]
[36, 60]
[37, 123]
[38, 60]
[39, 60]
[40, 70]
[41, 60]
[42, 60]
[43, 60]
[44, 60]
[45, 123]
[46, 60]
[47, 60]
[48, 123]
[49, 60]
[50, 60]
[51, 123]
[52, 60]
[53, 60]
[54, 123]
[55, 60]
[56, 60]
[57, 123]
[58, 60]
[59, 60]
[60, 54]
[63, 60]
[64, 60]
[65, 123]
[66, 60]
[67, 60]
[68, 123]
[69, 60]
[70, 60]
[71, 123]
[72, 60]
[73, 60]
[74, 123]
[75, 60]
[76, 60]
[77, 124]
[78, 60]
[79, 60]
[80, 96]
[81, 45]
[83, 96]
[84, 60]
[85, 87]
[86, 96]
[87, 60]
[88, 87]
[89, 96]
[90, 60]
[91, 87]
[92, 96]
[93, 60]
[94, 87]
[95, 96]
[96, 60]
[97, 88]
[98, 60]
[99, 60]
[100, 39]
[103, 60]
[104, 96]
[105, 87]
[106, 60]
[107, 96]
[108, 87]
[109, 60]
[110, 96]
[111, 87]
[112, 60]
[113, 96]
[114, 87]
[115, 60]
[116, 96]
[117, 88]
[118, 60]
[119, 78]
[120, 69]
[121, 45]
[123, 105]
[124, 60]
[125, 78]
[126, 105]
[127, 60]
[128, 78]
[129, 105]
[130, 60]
[131, 78]
[132, 105]
[133, 60]
[134, 78]
[135, 105]
[136, 60]
[137, 79]
[138, 60]
[139, 60]
[140, 39]
[143, 87]
[144, 78]
[145, 78]
[146, 87]
[147, 60]
[149, 60]
[150, 78]
[151, 105]
[152, 60]
[153, 78]
[154, 105]
[155, 60]
[156, 78]
[157, 106]
[158, 60]
[159, 78]
[160, 87]
[161, 30]
[163, 87]
[164, 60]
[165, 96]
[166, 87]
[167, 60]
[168, 96]
[169, 87]
[170, 60]
[171, 96]
[172, 87]
[173, 60]
[174, 96]
[175, 87]
[176, 60]
[177, 97]
[178, 87]
[179, 60]
[180, 69]
[181, 45]
[183, 60]
[184, 78]
[185, 105]
[186, 60]
[187, 78]
[188, 105]
[189, 60]
[190, 78]
[191, 105]
[192, 60]
[193, 78]
[194, 105]
[195, 60]
[196, 78]
[197, 106]
[198, 60]
[199, 60]
[200, 39]
[203, 60]
[204, 78]
[205, 105]
[206, 60]
[207, 78]
[208, 105]
[209, 60]
[210, 78]
[211, 105]
[212, 60]
[213, 78]
[214, 105]
[215, 60]
[216, 78]
[217, 105]
[218, 61]
[219, 78]
[220, 69]
[221, 45]
[223, 60]
[224, 105]
[225, 78]
[226, 60]
