SimulationV012.py[0, 98]
[1, 45]
[2, 45]
[3, 90]
[4, 45]
[5, 45]
[6, 90]
[7, 45]
[8, 45]
[9, 90]
[10, 45]
[11, 45]
[12, 90]
[13, 45]
[14, 45]
[15, 90]
[16, 45]
[17, 45]
[18, 90]
[19, 45]
[20, 53]
[21, 90]
[22, 45]
[23, 45]
[24, 90]
[25, 45]
[26, 45]
[27, 90]
[28, 45]
[29, 45]
[30, 90]
[31, 45]
[32, 45]
[33, 90]
[34, 45]
[35, 45]
[36, 90]
[37, 45]
[38, 45]
[39, 90]
[40, 53]
[41, 45]
[42, 90]
[43, 45]
[44, 45]
[45, 90]
[46, 45]
[47, 45]
[48, 90]
[49, 45]
[50, 45]
[51, 90]
[52, 45]
[53, 45]
[54, 90]
[55, 45]
[56, 45]
[57, 90]
[58, 45]
[59, 45]
[60, 98]
[61, 45]
[62, 45]
[63, 90]
[64, 45]
[65, 45]
[66, 90]
[67, 45]
[68, 45]
[69, 90]
[70, 45]
[71, 45]
[72, 90]
[73, 45]
[74, 45]
[75, 90]
[76, 45]
[77, 45]
[78, 90]
[79, 45]
[80, 52]
[81, 90]
[82, 45]
[83, 45]
[84, 90]
[85, 45]
[86, 46]
[87, 90]
[88, 45]
[89, 45]
[90, 90]
[91, 45]
[92, 45]
[93, 90]
[94, 45]
[95, 45]
[96, 90]
[97, 45]
[98, 45]
[99, 90]
[100, 52]
[101, 45]
[102, 90]
[103, 45]
[104, 45]
[105, 90]
[106, 46]
[107, 45]
[108, 90]
[109, 45]
[110, 45]
[111, 90]
[112, 45]
[113, 45]
[114, 90]
[115, 45]
[116, 45]
[117, 90]
[118, 45]
[119, 45]
[120, 97]
[121, 45]
[122, 45]
[123, 90]
[124, 45]
[125, 45]
[126, 91]
[127, 45]
[128, 45]
[129, 90]
[130, 45]
[131, 45]
[132, 90]
[133, 45]
[134, 45]
[135, 90]
[136, 45]
[137, 45]
[138, 90]
[139, 45]
[140, 51]
[141, 90]
[142, 45]
[143, 45]
[144, 91]
[145, 45]
[146, 46]
[147, 90]
[148, 45]
[149, 45]
[150, 90]
[151, 45]
[152, 45]
[153, 90]
[154, 45]
[155, 45]
[156, 90]
[157, 45]
[158, 45]
[159, 90]
[160, 50]
[161, 45]
[162, 90]
[163, 45]
[164, 46]
[165, 90]
[166, 46]
[167, 46]
[168, 90]
[169, 45]
[170, 45]
[171, 90]
[172, 45]
[173, 45]
[174, 90]
[175, 45]
[176, 45]
[177, 90]
[178, 45]
[179, 45]
[180, 95]
[181, 45]
[182, 45]
[183, 90]
[184, 46]
[185, 45]
[186, 91]
[187, 46]
[188, 45]
[189, 90]
[190, 45]
[191, 45]
[192, 90]
[193, 45]
[194, 45]
[195, 90]
[196, 45]
[197, 45]
[198, 90]
[199, 45]
[200, 50]
[201, 90]
[202, 45]
[203, 45]
[204, 91]
[205, 45]
[206, 46]
[207, 91]
[208, 45]
[209, 45]
[210, 90]
[211, 45]
[212, 45]
[213, 90]
[214, 45]
[215, 45]
[216, 90]
[217, 45]
[218, 45]
[219, 90]
[220, 50]
[221, 45]
[222, 90]
[223, 45]
[224, 46]
[225, 90]
[226, 46]
[227, 46]
[228, 90]
[229, 45]
[230, 45]
[231, 90]
[232, 45]
[233, 45]
[234, 90]
[235, 45]
[236, 45]
[237, 90]
[238, 45]
[239, 45]
[240, 95]
[241, 45]
[242, 45]
[243, 90]
[244, 45]
[245, 45]
[246, 91]
[247, 46]
[248, 45]
[249, 90]
[250, 45]
[251, 45]
[252, 90]
[253, 45]
[254, 46]
[255, 90]
[256, 45]
[257, 45]
[258, 90]
[259, 45]
[260, 50]
[261, 90]
[262, 45]
[263, 45]
[264, 90]
[265, 45]
[266, 46]
[267, 91]
[268, 45]
[269, 45]
[270, 90]
[271, 45]
[272, 45]
[273, 90]
[274, 46]
[275, 45]
[276, 90]
[277, 45]
[278, 45]
[279, 90]
[280, 50]
[281, 45]
[282, 90]
[283, 45]
[284, 45]
[285, 90]
[286, 46]
[287, 46]
[288, 90]
[289, 45]
[290, 45]
[291, 90]
[292, 45]
[293, 45]
[294, 91]
[295, 45]
[296, 45]
[297, 90]
[298, 45]
[299, 45]
[300, 95]
[301, 45]
[302, 45]
[303, 90]
[304, 45]
[305, 45]
[306, 91]
[307, 46]
[308, 45]
[309, 90]
[310, 45]
[311, 45]
[312, 90]
[313, 45]
[314, 45]
[315, 90]
[316, 45]
[317, 46]
[318, 90]
[319, 45]
[320, 50]
[321, 90]
[322, 45]
[323, 45]
[324, 90]
[325, 45]
[326, 46]
[327, 91]
[328, 45]
[329, 45]
[330, 90]
[331, 45]
[332, 45]
[333, 90]
[334, 45]
[335, 45]
[336, 90]
[337, 46]
[338, 45]
[339, 90]
[340, 50]
[341, 45]
[342, 90]
[343, 45]
[344, 45]
[345, 90]
[346, 46]
[347, 46]
