SimulationV06.py[94476132.76, [11330, 11330, 11345, 11345, 11345, 11350, 11355, 11360, 11360, 11365, 11370, 11370, 11375, 11375, 11375, 11375, 11375, 11375, 11375], [12, 8, 8, 22, 1, 10, 74, 9999, 9999, 9999, 9999, 9999, 9999], [17636013.0, 2597259.0, 701180.37, 9139206.38, 64402474.01]]
[96805680.48, [11300, 11300, 11330, 11345, 11345, 11350, 11360, 11360, 11360, 11360, 11365, 11365, 11365, 11370, 11370, 11375, 11375, 11375, 11375], [12, 8, 8, 22, 1, 10, 74, 9999, 9999, 9999, 9999, 9999, 9999], [17636013.0, 2597259.0, 701159.53, 9134838.86, 66736410.09]]
[96855739.08, [11300, 11315, 11330, 11330, 11330, 11335, 11355, 11360, 11365, 11365, 11370, 11370, 11375, 11375, 11375, 11375, 11375, 11375, 11375], [12, 8, 8, 22, 1, 10, 74, 9999, 9999, 9999, 9999, 9999, 9999], [17636013.0, 2597259.0, 701318.66, 9135056.53, 66786091.89]]
[96996222.23, [11300, 11330, 11330, 11340, 11355, 11360, 11360, 11360, 11360, 11360, 11370, 11375, 11375, 11375, 11375, 11375, 11375, 11375, 11375], [12, 8, 8, 22, 1, 10, 74, 9999, 9999, 9999, 9999, 9999, 9999], [17636013.0, 2597259.0, 701321.81, 9138151.34, 66923477.08]]
[97130875.66, [11315, 11330, 11330, 11345, 11345, 11370, 11370, 11370, 11370, 11370, 11370, 11370, 11375, 11375, 11375, 11375, 11375, 11375, 11375], [12, 8, 8, 22, 1, 10, 74, 9999, 9999, 9999, 9999, 9999, 9999], [17636013.0, 2597259.0, 701218.19, 9140462.36, 67055923.11]]
[97741217.54, [11300, 11300, 11325, 11330, 11350, 11355, 11360, 11365, 11365, 11370, 11370, 11375, 11375, 11375, 11375, 11375, 11375, 11375, 11375], [12, 8, 8, 22, 1, 10, 74, 9999, 9999, 9999, 9999, 9999, 9999], [17636013.0, 2597259.0, 700998.36, 9136704.56, 67670242.62]]
[98155694.76, [11300, 11300, 11315, 11315, 11315, 11330, 11340, 11340, 11345, 11350, 11355, 11355, 11355, 11360, 11370, 11370, 11375, 11375, 11375], [12, 8, 8, 22, 1, 10, 74, 9999, 9999, 9999, 9999, 9999, 9999], [17636013.0, 2597259.0, 701110.62, 9126259.83, 68095052.31]]
[98525909.9, [11290, 11300, 11300, 11300, 11325, 11330, 11330, 11345, 11350, 11355, 11360, 11375, 11375, 11375, 11375, 11375, 11375, 11375, 11375], [12, 8, 8, 22, 1, 10, 74, 9999, 9999, 9999, 9999, 9999, 9999], [17636013.0, 2597259.0, 700920.23, 9128163.58, 68463554.09]]
[98538569.8, [11275, 11300, 11315, 11330, 11330, 11330, 11345, 11345, 11370, 11375, 11375, 11375, 11375, 11375, 11375, 11375, 11375, 11375, 11375], [12, 8, 8, 22, 1, 10, 74, 9999, 9999, 9999, 9999, 9999, 9999], [17636013.0, 2597259.0, 701125.84, 9132574.41, 68471597.56]]
[99677579.05, [11300, 11300, 11300, 11340, 11345, 11345, 11360, 11360, 11360, 11360, 11360, 11365, 11370, 11375, 11375, 11375, 11375, 11375, 11375], [12, 8, 8, 22, 1, 10, 74, 9999, 9999, 9999, 9999, 9999, 9999], [17636013.0, 2597259.0, 701034.17, 9133587.64, 69609685.24]]
