SimulationV09.py[0, 250]
[1, 120]
[2, 120]
[3, 228]
[4, 120]
[5, 120]
[6, 228]
[7, 120]
[8, 120]
[9, 228]
[10, 120]
[11, 120]
[12, 228]
[13, 45]
[15, 9]
[20, 13]
[21, 9]
[23, 192]
[24, 147]
[25, 129]
[26, 192]
[27, 147]
[28, 129]
[29, 192]
[30, 147]
[31, 129]
[32, 192]
[33, 147]
[34, 129]
[35, 192]
[36, 147]
[37, 129]
[38, 192]
[39, 147]
[40, 139]
[41, 3]
[42, 7]
[43, 122]
[44, 192]
[45, 156]
[46, 120]
[47, 192]
[48, 156]
[49, 120]
[50, 192]
[51, 156]
[52, 120]
[53, 192]
[54, 156]
[55, 120]
[56, 192]
[57, 156]
[58, 120]
[59, 192]
[60, 163]
[61, 3]
[62, 3]
[63, 124]
[64, 195]
[65, 158]
[66, 120]
[67, 192]
[68, 156]
[69, 120]
[70, 192]
[71, 156]
[72, 120]
[73, 192]
[74, 156]
[75, 120]
[76, 192]
[77, 156]
[78, 120]
[79, 192]
[80, 160]
[81, 3]
[82, 3]
[83, 123]
[84, 196]
[85, 159]
[86, 122]
[87, 192]
[88, 156]
[89, 120]
[90, 192]
[91, 156]
[92, 120]
[93, 192]
[94, 156]
[95, 120]
[96, 192]
[97, 156]
[98, 120]
[99, 192]
[100, 160]
[101, 123]
[102, 195]
[103, 159]
[104, 124]
[105, 195]
[106, 158]
[107, 120]
[108, 192]
[109, 156]
[110, 120]
[111, 192]
[112, 156]
[113, 120]
[114, 192]
[115, 156]
[116, 120]
[117, 192]
[118, 156]
[119, 120]
[120, 196]
[121, 159]
[122, 123]
[123, 195]
[124, 160]
[125, 123]
[126, 194]
[127, 156]
[128, 120]
[129, 192]
[130, 156]
[131, 120]
[132, 192]
[133, 156]
[134, 120]
[135, 192]
[136, 156]
[137, 120]
[138, 192]
[139, 102]
[140, 58]
[141, 159]
[142, 168]
[143, 93]
[144, 163]
[145, 120]
[146, 140]
[147, 165]
[148, 165]
[149, 138]
[150, 165]
[151, 165]
[152, 138]
[153, 165]
[154, 165]
[155, 138]
[156, 165]
[157, 165]
[158, 138]
[159, 165]
[160, 169]
[161, 141]
[162, 168]
[163, 168]
[164, 142]
[165, 168]
[166, 167]
[167, 138]
[168, 165]
[169, 165]
[170, 138]
[171, 165]
[172, 165]
[173, 138]
[174, 165]
[175, 165]
[176, 138]
[177, 165]
[178, 165]
[179, 138]
[180, 169]
[181, 168]
[182, 141]
[183, 168]
[184, 169]
[185, 141]
[186, 167]
[187, 165]
[188, 138]
[189, 165]
[190, 165]
[191, 138]
[192, 165]
[193, 165]
[194, 138]
[195, 165]
[196, 165]
[197, 138]
[198, 165]
[199, 165]
[200, 142]
[201, 168]
[202, 167]
[203, 141]
[204, 169]
[205, 166]
[206, 141]
[207, 167]
[208, 165]
[209, 138]
[210, 165]
[211, 165]
[212, 138]
[213, 165]
[214, 165]
[215, 138]
[216, 165]
[217, 165]
[218, 138]
[219, 165]
[220, 169]
[221, 138]
[222, 168]
[223, 167]
[224, 141]
[225, 169]
[226, 166]
[227, 141]
[228, 167]
[229, 165]
